//DO NOT EDIT THIS FILE
//Name;Experience given;Base Hp;Base Atk;Base Def;Base Spd;Base SpA
Bulbasaur;64;45;49;49;45;65
Ivysaur;141;60;62;63;60;80
Venusaur;208;80;82;83;80;100
Charmander;65;39;52;43;65;60
Charmeleon;142;58;64;58;80;80
Charizard;209;78;84;78;100;109
Squirtle;66;44;48;65;43;50
Wartortle;143;59;63;80;58;65
Blastoise;210;79;83;100;78;85
Caterpie;53;45;30;35;45;20
Metapod;72;50;20;55;30;25
Butterfree;160;60;45;50;70;80
Weedle;52;40;35;30;50;20
Kakuna;71;45;25;50;35;25
Beedrill;159;65;80;40;75;45
Pidgey;55;40;45;40;56;35
Pidgeotto;113;63;60;55;71;50
Pidgeot;172;83;80;75;91;70
Rattata;57;30;56;35;72;25
Raticate;116;55;81;60;97;50
Spearow;58;40;60;30;70;31
Fearow;162;65;90;65;100;61
Ekans;62;35;60;44;55;40
Arbok;147;60;85;69;80;65
Pikachu;82;35;55;30;90;50
Raichu;122;60;90;55;100;90
Sandshrew;93;50;75;85;40;20
Sandslash;163;75;100;110;65;45
NidoranF;59;55;47;52;41;40
Nidorina;117;70;62;67;56;55
Nidoqueen;194;90;82;87;76;75
NidoranM;60;46;57;40;50;40
Nidorino;118;61;72;57;65;55
Nidoking;195;81;92;77;85;85
Clefairy;68;70;45;48;35;60
Clefable;129;95;70;73;60;85
Vulpix;63;38;41;40;65;50
Ninetales;178;73;76;75;100;81
Jigglypuff;76;115;45;20;20;45
Wigglytuff;109;140;70;45;45;75
Zubat;54;40;45;35;55;30
Golbat;171;75;80;70;90;65
Oddish;78;45;50;55;30;75
Gloom;132;60;65;70;40;85
Vileplume;184;75;80;85;50;100
Paras;70;35;70;55;25;45
Parasect;128;60;95;80;30;60
Venonat;75;60;55;50;45;40
Venomoth;138;70;65;60;90;90
Diglett;81;10;55;25;95;35
Dugtrio;153;35;80;50;120;50
Meowth;69;40;45;35;90;40
Persian;148;65;70;60;115;65
Psyduck;80;50;52;48;55;65
Golduck;174;80;82;78;85;95
Mankey;74;40;80;35;70;35
Primeape;149;65;105;60;95;60
Growlithe;91;55;70;45;60;70
Arcanine;213;90;110;80;95;100
Poliwag;77;40;50;40;90;40
Poliwhirl;131;65;65;65;90;50
Poliwrath;185;90;85;95;70;70
Abra;73;25;20;15;90;105
Kadabra;145;40;35;30;105;120
Alakazam;186;55;50;45;120;135
Machop;88;70;80;50;35;35
Machoke;146;80;100;70;45;50
Machamp;193;90;130;80;55;65
Bellsprout;84;50;75;35;40;70
Weepinbell;151;65;90;50;55;85
Victreebel;191;80;105;65;70;100
Tentacool;105;40;40;35;70;50
Tentacruel;205;80;70;65;100;80
Geodude;86;40;80;100;20;30
Graveler;134;55;95;115;35;45
Golem;177;80;110;130;45;55
Ponyta;152;50;85;55;90;65
Rapidash;192;65;100;70;105;80
Slowpoke;99;90;65;65;15;40
Slowbro;164;95;75;110;30;100
Magnemite;89;25;35;70;45;95
Magneton;169;50;60;95;70;120
Farfetchd;94;52;65;55;60;58
Doduo;96;35;85;45;75;35
Dodrio;158;60;110;70;100;60
Seel;100;65;45;55;45;45
Dewgong;176;90;70;80;70;70
Grimer;90;80;80;50;25;40
Muk;157;105;105;75;50;65
Shellder;97;30;65;100;40;45
Cloyster;203;50;95;180;70;85
Gastly;95;30;35;30;80;100
Haunter;126;45;50;45;95;115
Gengar;190;60;65;60;110;130
Onix;108;35;45;160;70;30
Drowzee;102;60;48;45;42;43
Hypno;165;85;73;70;67;73
Krabby;115;30;105;90;50;25
Kingler;206;55;130;115;75;50
Voltorb;103;40;30;50;100;55
Electrode;150;60;50;70;140;80
Exeggcute;98;60;40;80;40;60
Exeggutor;212;95;95;85;55;125
Cubone;87;50;50;95;35;40
Marowak;124;60;80;110;45;50
Hitmonlee;139;50;120;53;87;35
Hitmonchan;140;50;105;79;76;35
Lickitung;127;90;55;75;30;60
Koffing;114;40;65;95;35;60
Weezing;173;65;90;120;60;85
Rhyhorn;135;80;85;95;25;30
Rhydon;204;105;130;120;40;45
Chansey;255;250;5;5;50;35
Tangela;166;65;55;115;60;100
Kangaskhan;175;105;95;80;90;40
Horsea;83;30;40;70;60;70
Seadra;155;55;65;95;85;95
Goldeen;111;45;67;60;63;35
Seaking;170;80;92;65;68;65
Staryu;106;30;45;55;85;70
Starmie;207;60;75;85;115;100
MrMime;136;40;45;65;90;100
Scyther;187;70;110;80;105;55
Jynx;137;65;50;35;95;115
Electabuzz;156;65;83;57;105;95
Magmar;167;65;95;57;93;100
Pinsir;200;65;125;100;85;55
Tauros;211;75;100;95;110;40
Magikarp;20;20;10;55;80;15
Gyarados;214;95;125;79;81;60
Lapras;219;130;85;80;60;85
Ditto;61;48;48;48;48;48
Eevee;92;55;55;50;55;45
Vaporeon;196;130;65;60;65;110
Jolteon;197;65;65;60;130;110
Flareon;198;65;130;60;65;95
Porygon;130;65;60;70;40;85
Omanyte;120;35;40;100;35;90
Omastar;199;70;60;125;55;115
Kabuto;119;30;80;90;55;55
Kabutops;201;60;115;105;80;65
Aerodactyl;202;80;105;65;130;60
Snorlax;154;160;110;65;30;65
Articuno;215;90;85;100;85;95
Zapdos;216;90;90;85;100;125
Moltres;217;90;100;90;90;125
Dratini;67;41;64;45;50;50
Dragonair;144;61;84;65;70;70
Dragonite;218;91;134;95;80;100
Mewtwo;220;106;110;90;130;154
Mew;64;100;100;100;100;100
Chikorita;64;45;49;65;45;49
Bayleef;141;60;62;80;60;63
Meganium;208;80;82;100;80;83
Cyndaquil;65;39;52;43;65;60
Quilava;142;58;64;58;80;80
Typhlosion;209;78;84;78;100;109
Totodile;66;50;65;64;43;44
Croconaw;143;65;80;80;58;59
Feraligatr;210;85;105;100;78;79
Sentret;57;35;46;34;20;35
Furret;116;85;76;64;90;45
Hoothoot;58;60;30;30;50;36
Noctowl;162;100;50;50;70;76
Ledyba;54;40;20;30;55;40
Ledian;134;55;35;50;85;55
Spinarak;54;40;60;40;30;40
Ariados;134;70;90;70;40;60
Crobat;204;85;90;80;130;70
Chinchou;90;75;38;38;67;56
Lanturn;156;125;58;58;67;76
Pichu;42;20;40;15;60;35
Cleffa;37;50;25;28;15;45
Igglybuff;39;90;30;15;15;40
Togepi;74;35;20;65;20;40
Togetic;114;55;40;85;40;80
Natu;73;40;50;45;70;70
Xatu;171;65;75;70;95;95
Mareep;59;55;40;40;35;65
Flaaffy;117;70;55;55;45;80
Ampharos;194;90;75;75;55;115
Bellossom;184;75;80;85;50;90
Marill;58;70;20;50;40;20
Azumarill;153;100;50;80;50;50
Sudowoodo;135;70;100;115;30;30
Politoed;185;90;75;75;70;90
Hoppip;74;35;35;40;50;35
Skiploom;136;55;45;50;80;45
Jumpluff;176;75;55;70;110;55
Aipom;94;55;70;55;85;40
Sunkern;52;30;30;30;30;30
Sunflora;146;75;75;55;30;105
Yanma;147;65;65;45;95;75
Wooper;52;55;45;45;15;25
Quagsire;137;95;85;85;35;65
Espeon;197;65;65;60;110;130
Umbreon;197;95;65;110;65;60
Murkrow;107;60;85;42;91;85
Slowking;164;95;75;80;30;100
Misdreavus;147;60;60;60;85;85
Unown;61;48;72;48;48;72
Wobbuffet;177;190;33;58;33;33
Girafarig;149;70;80;65;85;90
Pineco;60;50;65;90;15;35
Forretress;118;75;90;140;40;60
Dunsparce;75;100;70;70;45;65
Gligar;108;65;75;105;85;35
Steelix;196;75;85;200;30;55
Snubbull;63;60;80;50;30;40
Granbull;178;90;120;75;45;60
Qwilfish;100;65;95;75;85;55
Scizor;200;70;130;100;65;55
Shuckle;80;20;10;230;5;10
Heracross;200;80;125;75;85;40
Sneasel;132;55;95;55;115;35
Teddiursa;124;60;80;50;40;50
Ursaring;189;90;130;75;55;75
Slugma;78;40;40;40;20;70
Magcargo;154;50;50;120;30;80
Swinub;78;50;50;40;50;30
Piloswine;160;100;100;80;50;60
Corsola;113;55;55;85;35;65
Remoraid;78;35;65;35;65;65
Octillery;164;75;105;75;45;105
Delibird;183;45;55;45;75;65
Mantine;168;65;40;70;70;80
Skarmory;168;65;80;140;70;40
Houndour;114;45;60;30;65;80
Houndoom;204;75;90;50;95;110
Kingdra;207;75;95;95;85;95
Phanpy;124;90;60;60;40;40
Donphan;189;90;120;120;50;60
Porygon2;180;85;80;90;60;105
Stantler;165;73;95;62;85;85
Smeargle;106;55;20;35;75;20
Tyrogue;91;35;35;35;35;35
Hitmontop;138;50;95;95;70;35
Smoochum;87;45;30;15;65;85
Elekid;106;45;63;37;95;65
Magby;117;45;75;37;83;70
Miltank;200;95;80;105;100;40
Blissey;255;255;10;10;55;75
Raikou;216;90;85;75;115;115
Entei;217;115;115;85;100;90
Suicune;215;100;75;115;85;90
Larvitar;67;50;64;50;41;4
Pupitar;144;70;84;70;51;6
Tyranitar;218;100;134;110;61;95
Lugia;220;106;90;130;110;90
Hooh;220;106;130;90;90;110
Celebi;64;100;100;100;100;100
